Name,Description,Image,PrepTime,CookTime,Yield,Ingredients,Instructions,Categories,Tags,Tools
Sea Legs,,,10,0,1,Mezcal|1|ounce;Peated Whisky|1|ounce;Lime juice|0.75|ounce;Orgeat|0.75|ounce;Celery Bitters|2|dash;,Add all ingredients to cocktail shaker;Add ice;Shake;Serve;Rim glass with taijin;,Cocktail,,
Frozen Pineapple Jalapeno Margarita,,,10,0,1,Tequila Blanco|2|ounce;Cointreau|0.5|ounce;Lime juice|0.75|ounce;Agave|0.5|ounce;Jalapeno|2|slice;Frozen Pineapple|1|cup;Ice|1|cup;Tajin|2|pinch;,Add all ingredients to blender;Blend;Serve;,Cocktail,,
Reposado Rustle,,,10,0,1,Reposado Tequila|2|ounce;Orange Liqueur|1|ounce;Apple Cider|2|ounce;Lime juice|0.5|ounce;Maple Syrup|0.5|ounce;,Add all ingredients to cocktail shaker;Add ice;Shake;Serve;,Cocktail,,
Devil's Margarita,,,10,0,1,Tequila|50|milliliter;Lime juice|25|milliliter;Agave|12.5|milliliter;Red Wine|1|dash;Salt|2|pinch;,"Rim glass with salt;Add all ingredients, except red wine, to cocktail shaker;Add ice;Shake;Pour;Float red wine on top;",Cocktail,,
Winter Margarita,,,10,0,1,Reposado Tequila|2|ounce;Blood Orange Juice|2|ounce;Lime juice|0.5|ounce;Honey|1|teaspoon;Vanilla Extract|1|dash;Ground Cinnamon|1|dash;,Add all ingredients to cocktail shaker;Add ice;Shake;Serve;,Cocktail,,
JT's El Pepino,,,10,0,1,Tequila Blanco|1.5|ounce;Lime juice|0.75|ounce;Orange Liqueur|0.5|ounce;Pineapple Juice|0.5|ounce;Agave|0.25|ounce;Cucumber|1|slice;,Muddle cucumber slice in cocktail shaker;Add rest of ingredients;Shake;Serve;,Cocktail,,
Bruleed Blood Orange Carajillo,,,10,0,1,Reposado Tequila|1|ounce;Licor 43|1|ounce;Espresso|1.5|ounce;Blood Orange Juice|1.5|ounce;Caramel Syrup|0.5|ounce;Orange|1|slice;,"Add all ingredients, except orange slice, to cocktail shaker;Add ice;Shake;Serve;Sprinkle sugar on the orange slice and torch;",Cocktail,,
Pecan-infused Buffalo Trace,,,10,9000,1,Buffalo Trace Bourbon|375|milliliter;Pecan|1|cup;,"Soak pecans in water for 20 minutes;Drain and spread on baking sheet;Season with salt, cayenne;Bake at 150 degrees for 20 minutes, stirring every 6 - 7 minutes;Let cool;Add to a jar with the Buffalo Trace;Stir once a day for seven days;",Cocktail,,
Pineapple Coconut Margarita,,,10,0,1,Tequila|2|ounce;Pineapple Juice|1|ounce;Coconut Cream|1|ounce;Lime juice|0.5|ounce;Agave|0.5|ounce;,Add all ingredients to cocktail shaker;Add ice;Shake;Serve;Optional : Rim glass with coconut flakes;,Cocktail,,
Flower Night,,,10,0,1,Tequila|45|milliliter;Cointreau|15|milliliter;Lime juice|22.5|milliliter;Hibiscus Syrup|15|milliliter;,Add all ingredients to cocktail shaker;Add ice;Shake;Serve;,Cocktail,,
Brown Butter Fat-Washed Rum,,,10,120,1,Butter|2|tablespoon;Rum|6|ounce;,"Add butter to a small saucepan;Heat until lightly browned;Remove from heat and let cool;Add to a jar with the rum;Let sit at room temp for 2 hours, shaking every 20 - 30 minutes;Put jar in freezer overnight;Remove the butter with a strainer;Pour mixture through coffee filter;",Cocktail,,
Carrot Cake,,,10,0,1,Brown Butter Fat-Washed Rum|1.5|ounce;Carrot Juice|1|ounce;Heavy Cream|0.75|ounce;Brown Sugar Syrup|0.75|ounce;Vanilla Liqueur|0.25|ounce;Black Walnut Bitters|4|dash;,Add all ingredients to cocktail shaker;Add ice;Shake;Serve;,Cocktail,,
Blood Orange Margarita,,,10,0,1,Tequila|1.5|ounce;Mezcal|0.5|ounce;Blood Orange Juice|1|ounce;Coconut Milk|2|ounce;Lime juice|0.75|ounce;Agave|0.5|ounce;,Rim glass with taijin;Add all ingredients to cocktail shaker;Add ice;Shake;Serve;Add jalapenos and agave syrup to cocktail shaker and muddle;Add all ingredients to cocktail shaker;Add ice;Shake;Serve;,Cocktail,,
Spicy Pineapple Bourbon Margarita,,,10,0,1,Bourbon|2|ounce;Orange Liqueur|1|ounce;Pineapple Juice|0.75|ounce;Lime juice|0.75|ounce;Agave|0.5|ounce;Jalapenos|3|slice;,Add jalapenos and agave syrup to cocktail shaker and muddle;Add rest of ingredients;Add ice;Shake;Serve;,Cocktail,,
Spicy Coconut Mango Margarita,,,10,0,1,Tequila Blanco|2|ounce;Cointreau|0.75|ounce;Coconut Water|1|ounce;Mango|0.5|sgl;Lime juice|0.75|ounce;Agave|0.5|ounce;Jalapenos|3|slice;,"Add mango, Lime juice, jalapeno slices, agave to cocktail shaker;Muddle;Add cointreau, coconut water, and tequlia;Add ice;Shake;Serve;",Cocktail,,
Spicy Honey Syrup,,,10,10,1,Honey|0.25|cup;Water|0.25|cup;Red Pepper Flakes|0.5|teaspoon;,"Bring water to a boil in a small saucepan;Add sweetener and stir to combine;Remove from heat, add red pepper flakes, and allow to cool;Strain through mesh and store;",Cocktail,,
Angry Honey Badger,,,10,0,1,Bourbon|2|ounce;Spicy Honey Syrup|2|tablespoon;Lemon Juice|2|teaspoon;Prosecco|1|dash;,"Add all ingredients, except prosecco, to cocktail shaker;Shake;Pour;Top with prosecco;",Cocktail,,
Nutella Washed Rum,,,10,2880,1,Nutella|100|gram;Rum|200|gram;,Add nutella to tub;Pour in rum;Leave at room temp for 48 hours;Strain through mesh and store;,Cocktail,,
Salty C,,,10,0,1,Vodka|1.5|ounce;Baileys|0.5|ounce;Frangelico|0.5|ounce;Salted Caramel Syrup|0.33|ounce;Indian tonic water|3|ounce;Double espresso|1|sgl;,,Cocktail,,
